epoch,train_acc,val_acc,train_f1,val_f1
-1,0.3190348525469169,0.3226452905811623,0.6545013520884844,0.6669506734637006
0,0.32439678284182305,0.32064128256513025,0.6605824619229453,0.6698039991627176
1,0.3378016085790885,0.3226452905811623,0.6646358258958805,0.6689610434099421
2,0.34048257372654156,0.3226452905811623,0.6711268177756123,0.6771695238629115
3,0.3351206434316354,0.3226452905811623,0.6755121107668035,0.676838992670657
4,0.3378016085790885,0.32665330661322645,0.674590794966131,0.6775558665338234
5,0.34584450402144773,0.32665330661322645,0.6784484059282998,0.6806162886323217
6,0.32439678284182305,0.312625250501002,0.6583415541860592,0.6629011269291836
7,0.34048257372654156,0.3286573146292585,0.687541055905668,0.6737473504006579
8,0.34316353887399464,0.33266533066132264,0.684600505243938,0.6834114115677253
9,0.3297587131367292,0.3166332665330661,0.669586133259056,0.6656844713958951
10,0.3324396782841823,0.3366733466933868,0.6804450092653855,0.6834082306026205
11,0.3351206434316354,0.32665330661322645,0.6846962539992041,0.6800277322321417
12,0.3136729222520107,0.30861723446893785,0.6757624115532973,0.6701197488772646
13,0.32171581769436997,0.3106212424849699,0.6808073070807663,0.674904209573549
14,0.3378016085790885,0.3186372745490982,0.6871147321549472,0.6810747035195941
15,0.34048257372654156,0.3246492985971944,0.681307908653754,0.6698148099951714
16,0.3109919571045576,0.312625250501002,0.6848177291877033,0.6754378887645429
17,0.3109919571045576,0.312625250501002,0.6653051000235992,0.6608505611511633
18,0.32171581769436997,0.32064128256513025,0.6821771912924736,0.684411535914543
19,0.3324396782841823,0.3226452905811623,0.6900330381563632,0.6827643743475419
20,0.34048257372654156,0.3226452905811623,0.6943388306659093,0.6823343657011002
21,0.3351206434316354,0.3226452905811623,0.6938183056145532,0.6818456537895425
22,0.3351206434316354,0.32064128256513025,0.692039506516719,0.6812243534688435
23,0.3351206434316354,0.33266533066132264,0.6867530146350527,0.686964549589801
24,0.3378016085790885,0.3306613226452906,0.692414570832802,0.6899124367060249
25,0.2975871313672922,0.3186372745490982,0.6581367098793377,0.6652893087762838
26,0.353887399463807,0.3346693386773547,0.696150126310985,0.6849729762555423
27,0.3485254691689008,0.342685370741483,0.6909123792501818,0.6892972091368894
28,0.3485254691689008,0.33867735470941884,0.691114515511299,0.6888890334782125
29,0.34048257372654156,0.3346693386773547,0.6914741052810764,0.6892172512412998
30,0.34584450402144773,0.3366733466933868,0.6904995957274783,0.6943052049264482
31,0.34584450402144773,0.3466933867735471,0.6914719775309597,0.697048787329349
32,0.3378016085790885,0.3466933867735471,0.6887693480186786,0.6965412788058086
33,0.3485254691689008,0.342685370741483,0.692520571474996,0.697826967065445
34,0.3378016085790885,0.3366733466933868,0.6965249971952395,0.6932009762671093
35,0.3512064343163539,0.3466933867735471,0.6953775595866759,0.7009161179501869
36,0.3512064343163539,0.3366733466933868,0.6938802037997759,0.6997218101426527
37,0.3485254691689008,0.3406813627254509,0.6932285319684793,0.6991252345961771
38,0.3190348525469169,0.3286573146292585,0.6917460704323984,0.6962840544002875
39,0.3351206434316354,0.33867735470941884,0.6922673692110699,0.6983723579915972
40,0.3163538873994638,0.3306613226452906,0.69112263964811,0.69590233858771
41,0.3351206434316354,0.3366733466933868,0.6949632286093425,0.6994204859936332
42,0.3297587131367292,0.3366733466933868,0.6947951363500974,0.7004703490675444
43,0.34048257372654156,0.3346693386773547,0.6956185756453865,0.6987942696359538
44,0.32171581769436997,0.33266533066132264,0.6920375721984314,0.7005889123123601
45,0.34316353887399464,0.3346693386773547,0.6987442405672979,0.7027336057396187
46,0.3378016085790885,0.3366733466933868,0.6994421426056826,0.7034305262762186
47,0.3324396782841823,0.33266533066132264,0.697904359566559,0.7012281417091043
48,0.3378016085790885,0.3346693386773547,0.6993469741459027,0.701132857345283
49,0.34316353887399464,0.3346693386773547,0.699731516621598,0.7046333648538066
50,0.3485254691689008,0.3406813627254509,0.7019358657428371,0.70489217974188
51,0.34584450402144773,0.342685370741483,0.6996974726197257,0.7052929813450864
52,0.3485254691689008,0.342685370741483,0.700092653846006,0.7029756482662302
53,0.3485254691689008,0.342685370741483,0.7006033138740922,0.7034655168923714
54,0.34584450402144773,0.3406813627254509,0.700284731652025,0.7041907769362687
55,0.34584450402144773,0.342685370741483,0.700284731652025,0.7050925805434831
56,0.34584450402144773,0.342685370741483,0.700284731652025,0.7045915785394752
