epoch,train_perc,val_perc,train_acc,val_acc
0,0.9867814814277108,0.9892704522217305,0.7028738112990359,0.7201883460859329
1,0.9897756366089806,0.9904993535007355,0.7221023165770645,0.7320776927604473
2,0.990822419204901,0.9912735760458478,0.7354053028816596,0.7450264861683343
3,0.991637610018567,0.9918013741541596,0.7523708616201651,0.7522071806945262
4,0.9920917448952028,0.9921314846259636,0.7570798833209067,0.7600941730429664
5,0.9921385054577215,0.9923156387450728,0.7616842600949653,0.7637433784579164
6,0.992440870286228,0.9924527332048726,0.7677667464584232,0.7660977045320777
7,0.9925377929640764,0.9925953907316448,0.7674528116783739,0.7701000588581518
8,0.9927450311882152,0.9926417391741239,0.7739931195960705,0.7708063566804002
9,0.992791788418052,0.9927347577775477,0.7763083885989353,0.7736315479693937
10,0.9928741336095701,0.9928482539885181,0.7788721893026723,0.7752795762213066
11,0.9930490756542183,0.9928430013477818,0.7813836675430679,0.7745732783990583
12,0.993060041106291,0.9929113961293959,0.7781658360475611,0.7770453207769276
13,0.9930677101735422,0.9928854141554501,0.7799186385695038,0.7757504414361389
14,0.9930487366130221,0.9928951058640904,0.7797093487161375,0.7763390229546793
15,0.9930681852593188,0.9928870183719876,0.7819330534081544,0.7764567392583873
16,0.9930822578217485,0.9928870183719876,0.7816976023231174,0.7764567392583873
17,0.993032683951727,0.9928870183719876,0.781854569713142,0.7764567392583873
18,0.9931293893173786,0.9928870183719876,0.7842875642585253,0.7764567392583873
